"","ID","kingdom","phylum","class","nameUk","BernAppendix2","BernAppendix3","Bonn","AEWA","IUCN","BernResolution6","ЧКУ","BernAppendix1","CITES","EUROBATS","ACCOBAMS","BirdsDirective","HabitatsDirective","Invasive","ЧС_Полтавська","ЧС_Чернівецька","ЧС_Житомирська","ЧС_Вінницька","ЧС_Харківська","ЧС_Чернігівська","ЧС_Черкаська","ЧС_Івано_Франківська","ЧС_Рівненська","ЧС_Одеська","ЧС_Сумська","ЧС_Закарпатська","ЧС_Львівська","ЧС_Миколаївська","ЧС_Донецька","ЧС_Херсонська","ЧС_Севастополь","ЧС_Тернопільська","ЧС_Київ","ЧС_Волинська","ЧС_Хмельницька","ЧС_Запорізька","ЧС_Кіровоградська","ЧС_Луганська","ЧС_Київська","ЧС_Дніпропетровська"
"80",80,"Animalia","Arthropoda","Arachnida","Гнафоза жалобна","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"81",81,"Animalia","Arthropoda","Arachnida","Кзістікус монгольський","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"82",82,"Animalia","Arthropoda","Arachnida","Іленус прикрашений","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"83",83,"Animalia","Arthropoda","Insecta","Тонкочеревець сплющений","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","yes","","","","yes","","","","","","","","","","","",""
"84",84,"Animalia","Arthropoda","Insecta","Лютка дрібнозубчаста","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"85",85,"Animalia","Arthropoda","Insecta","Стрілка списоносна","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"86",86,"Animalia","Arthropoda","Insecta","Вільпіанус підмаренників","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"87",87,"Animalia","Arthropoda","Insecta","Менакарус піщаний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"88",88,"Animalia","Arthropoda","Insecta","Диродерес щитовидний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"89",89,"Animalia","Arthropoda","Insecta","Пікромерус двозубчастий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"90",90,"Animalia","Arthropoda","Insecta","Пінтеус звичайний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"91",91,"Animalia","Arthropoda","Insecta","Троїлюс крилоплечий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"92",92,"Animalia","Arthropoda","Insecta","Стрибун приморський","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"93",93,"Animalia","Arthropoda","Insecta","Стрибун Зальберга","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"94",94,"Animalia","Arthropoda","Insecta","Омогліміус Гермара","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"95",95,"Animalia","Arthropoda","Insecta","Мертвоїд похмурий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"96",96,"Animalia","Arthropoda","Insecta","Езалюс скарабеоїдес","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"97",97,"Animalia","Arthropoda","Insecta","Діцерка амфібія","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"98",98,"Animalia","Arthropoda","Insecta","Златка Форманека","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","","yes"
"99",99,"Animalia","Arthropoda","Insecta","Золотиста в'язова златка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","","yes"
"100",100,"Animalia","Arthropoda","Insecta","Златка Тюрка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"101",101,"Animalia","Arthropoda","Insecta","Вогневочеревцева соснова златка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"102",102,"Animalia","Arthropoda","Insecta","Дрокова вузькотіла златка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"103",103,"Animalia","Arthropoda","Insecta","Гострокрила вузькотіла златка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"104",104,"Animalia","Arthropoda","Insecta","Мідна вузькотіла златка","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"105",105,"Animalia","Arthropoda","Insecta","Ізоріпіс мелязоїдес","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"106",106,"Animalia","Arthropoda","Insecta","Каптурник мінливий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"107",107,"Animalia","Arthropoda","Insecta","Дерместоїдес червоногрудий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"108",108,"Animalia","Arthropoda","Insecta","Шкіроїд сажисто-чорний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"109",109,"Animalia","Arthropoda","Insecta","Комбоцерус гладкий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"110",110,"Animalia","Arthropoda","Insecta","Грибовик видовжений","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"111",111,"Animalia","Arthropoda","Insecta","Грибовик чорноголовий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"112",112,"Animalia","Arthropoda","Insecta","Пліснявоїд зубчастогрудий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"113",113,"Animalia","Arthropoda","Insecta","Сонечко облямоване","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"114",114,"Animalia","Arthropoda","Insecta","Сонечко вісімнадцятикрапкове","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"115",115,"Animalia","Arthropoda","Insecta","Сонечко двадцятиплямисте","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"116",116,"Animalia","Arthropoda","Insecta","Грибоїд десятикрапковий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"117",117,"Animalia","Arthropoda","Insecta","Грибоїд тополевий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"118",118,"Animalia","Arthropoda","Insecta","Тінелюб бородатий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"119",119,"Animalia","Arthropoda","Insecta","Тінелюб витончений","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"120",120,"Animalia","Arthropoda","Insecta","Тінелюб чотириплямистий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"121",121,"Animalia","Arthropoda","Insecta","Тінелюб дубовий","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"122",122,"Animalia","Arthropoda","Insecta","Метекус парадоксальний","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"123",123,"Animalia","Arthropoda","Insecta","Акімерус Шеффера","","","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"124",124,"Animalia","Arthropoda","Insecta","Турун нерегулярно-ямковий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"125",125,"Animalia","Arthropoda","Insecta","Бронзівка мармурова","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"126",126,"Animalia","Arthropoda","Insecta","Евритирея австрійська","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"127",127,"Animalia","Arthropoda","Insecta","Білан гірський","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"128",128,"Animalia","Arthropoda","Insecta","Сатир герміона","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"129",129,"Animalia","Arthropoda","Insecta","Синявець оріон","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","yes","","","","","","yes"
"130",130,"Animalia","Arthropoda","Insecta","Синявець алексис","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"131",131,"Animalia","Arthropoda","Insecta","Синявець торф’яниковий","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"132",132,"Animalia","Arthropoda","Insecta","Ведмедиця сільська","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
