verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
"Menaccarus arenicola (Scholtz, 1847)",Animalia,Arthropoda,Insecta,Менакарус піщаний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Dyroderes umbraculatus (Fabricius, 1775)",Animalia,Arthropoda,Insecta,Диродерес щитовидний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Picromerus bidens (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Пікромерус двозубчастий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Pinthaeus sanguinipes (J.C.Fabricius, 1781)",Animalia,Arthropoda,Insecta,Пінтеус звичайний,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Troilus luridus (Fabricius, 1775)",Animalia,Arthropoda,Insecta,Троїлюс крилоплечий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Cicindela maritima Dejean, 1822",Animalia,Arthropoda,Insecta,Стрибун приморський,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Cicindela sahlbergii Fischer von Waldheim, 1824",Animalia,Arthropoda,Insecta,Стрибун Зальберга,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Omoglymmius germari (Ganglbauer, 1891)",Animalia,Arthropoda,Insecta,Омогліміус Гермара,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Silpha tristis Illiger, 1798",Animalia,Arthropoda,Insecta,Мертвоїд похмурий,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Aesalus scarabaeoides (Panzer, 1793)",Animalia,Arthropoda,Insecta,Езалюс скарабеоїдес,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Dicerca amphibia Marseul, 1865",Animalia,Arthropoda,Insecta,Діцерка амфібія,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Phaenops formaneki (Jakobson, 1913)",Animalia,Arthropoda,Insecta,Златка Форманека,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes
"Anthaxia senicula (Schrank, 1789)",Animalia,Arthropoda,Insecta,Золотиста в'язова златка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes
"Anthaxia tuerki Ganglbauer, 1886",Animalia,Arthropoda,Insecta,Златка Тюрка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Chrysobothris igniventris Reitter, 1895",Animalia,Arthropoda,Insecta,Вогневочеревцева соснова златка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Agrilus antiquus Mulsant & Rey, 1863",Animalia,Arthropoda,Insecta,Дрокова вузькотіла златка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"Agrilus guerinii Lacordaire, 1835",Animalia,Arthropoda,Insecta,Гострокрила вузькотіла златка,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
